Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.57     0.00        2     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::operator--()
  0.00      3.57     0.00        2     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > const&)
  0.00      3.57     0.00        2     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::piecewise_construct_t, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<>)
  0.00      3.57     0.00        2     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, 0ul>(std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>)
  0.00      3.57     0.00        2     0.00     0.00  std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::tuple(std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&&)
  0.00      3.57     0.00        2     0.00     0.00  std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::tuple(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      3.57     0.00        2     0.00     0.00  std::__cxx11::_List_base<Pattern, std::allocator<Pattern> >::_List_impl::_List_impl()
  0.00      3.57     0.00        2     0.00     0.00  std::__cxx11::_List_base<Pattern, std::allocator<Pattern> >::_List_base()
  0.00      3.57     0.00        2     0.00     0.00  std::__cxx11::list<Pattern, std::allocator<Pattern> >::list()
  0.00      3.57     0.00        2     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >* std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_create_node<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&&, std::tuple<>&&)
  0.00      3.57     0.00        2     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >*)
  0.00      3.57     0.00        2     0.00     0.00  void std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_construct_node<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >*, std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&&, std::tuple<>&&)
  0.00      3.57     0.00        2     0.00     0.02  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&&, std::tuple<>&&)
  0.00      3.57     0.00        2     0.00     0.02  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      3.57     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::__get_helper<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::_Tuple_impl<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&)
  0.00      3.57     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&> >::type& std::get<0ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>&)
  0.00      3.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     3.37  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.57     0.00        1     0.00     0.05  Game::playTerminal()
  0.00      3.57     0.00        1     0.00     0.01  Game::initPatternsMap()
  0.00      3.57     0.00        1     0.00     0.00  Game::Game(Player*, Player*, bool, bool, SFMLCanvas*)
  0.00      3.57     0.00        1     0.00     0.00  Game::~Game()
  0.00      3.57     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::new_allocator()
  0.00      3.57     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::~new_allocator()
  0.00      3.57     0.00        1     0.00     0.00  Player::getName[abi:cxx11]() const
  0.00      3.57     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::allocator()
  0.00      3.57     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::~allocator()
  0.00      3.57     0.00        1     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::begin()
  0.00      3.57     0.00        1     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::map()
  0.00      3.57     0.00        1     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, std::_Rb_tree_node_base*&, void>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base*&)
  0.00      3.57     0.00        1     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, void>(std::_Rb_tree_node_base* const&, std::_Rb_tree_node_base*&)
  0.00      3.57     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_Rb_tree_impl<std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, true>::_M_initialize()
  0.00      3.57     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_Rb_tree_impl<std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, true>::_Rb_tree_impl()
  0.00      3.57     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_Rb_tree_impl<std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, true>::~_Rb_tree_impl()
  0.00      3.57     0.00        1     0.00     0.01  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >*)
  0.00      3.57     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_Rb_tree()
  0.00      3.57     0.00        1     0.00     0.01  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::~_Rb_tree()
  0.00      3.57     0.00        1     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.28% of 3.57 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     94.6    0.00    3.38                 __libc_csu_init [1]
                0.00    3.37       1/1           __static_initialization_and_destruction_0(int, int) [2]
                0.01    0.00       1/1           __static_initialization_and_destruction_0(int, int) [166]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [553]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [552]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [551]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [550]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [549]
-----------------------------------------------
                                   1             __static_initialization_and_destruction_0(int, int) [2]
                0.00    3.37       1/1           __libc_csu_init [1]
[2]     94.3    0.00    3.37       1+1       __static_initialization_and_destruction_0(int, int) [2]
                0.03    3.05    8806/8806        MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool) [3]
                0.01    0.08    8632/9020        Game::changeBreakable(unsigned long long*, int const&, int const&) [26]
                0.00    0.06   15643/15696       Player::Player(Player const&) [33]
                0.01    0.04    7908/8518        Game::changeAligns(unsigned long long*, int const&, int const&) [37]
                0.01    0.03    7974/8227        Game::changeAround(unsigned long long*, int const&, int const&) [46]
                0.01    0.02   20358/20458       Player::~Player() [73]
                0.00    0.02    7270/7293        Game::affectBreakable(unsigned long long*, int const&, int const&, Player*, int, SFMLCanvas*) [95]
                0.00    0.00   18799/391516      Game::changeValue(unsigned long long*, int const&, int const&, unsigned long long const&, int const&, unsigned long long const&) [51]
                0.00    0.00      32/23024       Game::checkEnd(unsigned long long*, bool) [18]
                0.00    0.00   17855/17855       std::vector<coords, std::allocator<coords> >::operator[](unsigned long) [298]
                0.00    0.00    7756/14381       Player::getColor() const [301]
                0.00    0.00    7724/7732        int const& std::max<int>(int const&, int const&) [322]
                0.00    0.00     871/883         int const& std::min<int>(int const&, int const&) [354]
                0.00    0.00     645/22136       std::vector<coords, std::allocator<coords> >::size() const [295]
                0.00    0.00      31/28691       Player::getBroke() const [288]
                                   1             __static_initialization_and_destruction_0(int, int) [2]
-----------------------------------------------
                                  20             MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool) [3]
                0.03    3.05    8806/8806        __static_initialization_and_destruction_0(int, int) [2]
[3]     86.3    0.03    3.05    8806+20      MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool) [3]
                0.00    2.88    6703/6703        Game::getTotalScore(unsigned long long*, int const&, int const&, int const&) [5]
                0.08    0.00   10111/23024       Game::checkEnd(unsigned long long*, bool) [18]
                0.00    0.06     499/499         void std::sort<__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}>(__gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >, MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}, MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool)::{lambda(coords const&, coords const&)#1}) [36]
                0.00    0.03   51275/51888       std::vector<coords, std::allocator<coords> >::push_back(coords const&) [65]
                0.00    0.00      29/15696       Player::Player(Player const&) [33]
                0.00    0.00      74/20458       Player::~Player() [73]
                0.00    0.00   28485/28691       Player::getBroke() const [288]
                0.00    0.00    6602/14381       Player::getColor() const [301]
                0.00    0.00     735/760         std::vector<coords, std::allocator<coords> >::~vector() [355]
                0.00    0.00     687/732         std::vector<coords, std::allocator<coords> >::end() [360]
                0.00    0.00     679/22136       std::vector<coords, std::allocator<coords> >::size() const [295]
                0.00    0.00     594/639         std::vector<coords, std::allocator<coords> >::begin() [364]
                0.00    0.00     589/602         std::vector<coords, std::allocator<coords> >::vector() [366]
                                  20             MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool) [3]
-----------------------------------------------
                0.00    2.88   16339/16339       Game::getTotalScore(unsigned long long*, int const&, int const&, int const&) [5]
[4]     80.6    0.00    2.88   16339         Game::getScore(unsigned long long*, int const&, int const&) [4]
                0.93    1.76   15997/16020       Game::findPatterns(unsigned long long*, int const&, int const&) [6]
                0.11    0.00   12858/23024       Game::checkEnd(unsigned long long*, bool) [18]
                0.02    0.01   71992/72073       __gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > >::operator++(int) [74]
                0.01    0.01   80707/80811       std::vector<Pattern, std::allocator<Pattern> >::end() [82]
                0.01    0.00   13462/13485       std::vector<Pattern, std::allocator<Pattern> >::begin() [103]
                0.01    0.00   88244/88348       bool __gnu_cxx::operator!=<Pattern*, std::vector<Pattern, std::allocator<Pattern> > >(__gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > > const&, __gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > > const&) [140]
                0.00    0.01   13200/27089       std::vector<Pattern, std::allocator<Pattern> >::~vector() [101]
                0.00    0.00   60320/141528      Pattern::getScore() const [135]
                0.00    0.00   66254/66578       __gnu_cxx::__normal_iterator<Pattern*, std::vector<Pattern, std::allocator<Pattern> > >::operator->() const [277]
-----------------------------------------------
                0.00    2.88    6703/6703        MinMax::alphaBeta(unsigned long long*, short, bool, Player, Player, int, int, bool) [3]
[5]     80.6    0.00    2.88    6703         Game::getTotalScore(unsigned long long*, int const&, int const&, int const&) [5]
                0.00    2.88   16339/16339       Game::getScore(unsigned long long*, int const&, int const&) [4]
-----------------------------------------------
                0.00    0.00      23/16020       Game::playTerminal() [43]
                0.93    1.76   15997/16020       Game::getScore(unsigned long long*, int const&, int const&) [4]
[6]     75.4    0.93    1.76   16020         Game::findPatterns(unsigned long long*, int const&, int const&) [6]
                0.05    0.65  441307/441307      std::iterator_traits<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::count<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char const&) [7]
                0.00    0.40  136025/136085      std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [10]
                0.01    0.24   93456/93476       std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [14]
                0.00    0.16   82156/82156       void std::reverse<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >) [19]
                0.00    0.13   56074/56074       std::vector<Pattern, std::allocator<Pattern> >::push_back(Pattern const&) [23]
                0.03    0.00 2746602/3518492     Game::checkCase(int const&, int const&) [49]
                0.00    0.02   15381/15381       std::vector<Pattern, std::allocator<Pattern> >::vector(std::vector<Pattern, std::allocator<Pattern> >&&) [93]
                0.00    0.01   30534/30534       Game::getPatternScore(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, int const&) [112]
                0.01    0.00   64840/64840       Pattern::setY(int) [145]
                0.00    0.01   14098/14099       std::vector<Pattern, std::allocator<Pattern> >::vector() [155]
                0.01    0.00  404426/404797      Pattern::Pattern() [128]
                0.01    0.00   75526/75915       Pattern::setScore(int) [143]
                0.01    0.00   70661/71030       Pattern::setAverageScore(int) [144]
                0.00    0.01   13842/27089       std::vector<Pattern, std::allocator<Pattern> >::~vector() [101]
                0.01    0.00   80739/141528      Pattern::getScore() const [135]
                0.00    0.00  104998/247646      std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::end() [179]
                0.00    0.00  373264/587189      Pattern::~Pattern() [236]
                0.00    0.00  161102/161471      Pattern::setPattern(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [250]
                0.00    0.00  101796/102168      std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::operator!=(std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > const&) const [261]
                0.00    0.00   81809/81809       Pattern::setX(int) [268]
                0.00    0.00   79430/79818       Pattern::getAverageScore() const [274]
                0.00    0.00   65022/65022       Pattern::setDirection(int) [278]
-----------------------------------------------
                0.05    0.65  441307/441307      Game::findPatterns(unsigned long long*, int const&, int const&) [6]
[7]     19.5    0.05    0.65  441307         std::iterator_traits<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::count<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char const&) [7]
                0.11    0.52  519386/519386      std::iterator_traits<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::__count_if<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const> >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const>) [8]
                0.02    0.00  744498/750294      __gnu_cxx::__ops::_Iter_equals_val<char const> __gnu_cxx::__ops::__iter_equals_val<char const>(char const&) [84]
-----------------------------------------------
                0.11    0.52  519386/519386      std::iterator_traits<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::count<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char const&) [7]
[8]     17.6    0.11    0.52  519386         std::iterator_traits<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::__count_if<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const> >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const>) [8]
                0.14    0.17 2323406/2323406     bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [11]
                0.12    0.03 1869888/1869888     bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >) [21]
